,name,city,country,latitude,longitude,Starbucks,stbk_lat,stbk_lon
117,Delve Networks,Seattle,USA,47.600818,-122.334117,Starbucks,47.59907,-122.3326739
118,Bunchball,Redwood City,USA,37.3208403,-121.9479223,Starbucks,37.320964,-121.949113
119,TravelMuse,New York,USA,37.402802,-122.117418,Starbucks,37.402755,-122.112379
120,SugarCRM,Cupertino,USA,37.323739,-122.014147,Starbucks,37.323404,-122.011309
121,Jobfox,McLean,USA,38.92719,-77.216969,Starbucks,38.9258639,-77.2124116
122,Outspark,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
123,yoonew,New York,USA,40.75362,-73.986557,Starbucks,40.754361,-73.987257
124,Roost,San Francisco,USA,37.7891288,-122.4020276,Starbucks,37.7884614,-122.4034092
125,Zynga,San Francisco,USA,37.765158,-122.404234,Starbucks,37.7658845,-122.4034908
126,clipsync,San Francisco,USA,37.2906027,-121.9317853,Starbucks,37.292828,-121.930574
127,Lookery,San Francisco,USA,37.788266,-122.403865,Starbucks,37.7884614,-122.4034092
128,Sharetivity,Palo Alto,USA,37.550954,-122.315396,Starbucks,37.552243,-122.31386
129,VisualCV,Reston,USA,38.9530391,-77.3479238,Starbucks,38.95201,-77.347456
130,TalentSpring,Seattle,USA,47.680496,-122.120938,Starbucks,47.681042,-122.1259389
131,RocketOn,South San Francisco,USA,37.65466,-122.40788,Starbucks,37.655213,-122.410901
132,stickK,New York,USA,40.744837,-73.983843,Starbucks,40.744169,-73.983712
133,Bragster,London,GBR,51.5220072,-0.0766034,"Starbucks, Liverpool St Stn - Broadgate Link",51.5185932,-0.0818238
134,Snap Technologies,Pasadena,USA,34.146436,-118.153136,Starbucks,34.145914,-118.152542
135,Qype,Hamburg,DEU,53.54598,9.987181,Starbucks,53.5486926,9.987982599999999
136,Smalltown,San Mateo,USA,37.566123,-122.323045,Starbucks,37.562897,-122.323927
137,MOG,Berkeley,USA,37.872222,-122.268403,Starbucks,37.870434,-122.266083
138,Social Gaming Network,Los Angeles,USA,37.446823,-122.161523,Starbucks,37.446791,-122.160561
139,Social Gaming Network,Beverly Hills,USA,34.0698494,-118.4054182,Starbucks,34.0705899,-118.4023581
140,Foneshow,Portland,USA,43.657058,-70.253959,Starbucks,43.657582,-70.254661
141,doubleTwist,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
142,Grooveshark,Gainesville,USA,29.6502461,-82.3230981,Starbucks,29.649743,-82.32368699999999
143,FameCast,Austin,USA,30.268735,-97.745209,Starbucks,30.268259,-97.74295599999999
144,Redux,Berkeley,USA,37.87168,-122.269494,Starbucks,37.870434,-122.266083
145,Evernote,Redwood City,USA,37.386774,-121.987661,Starbucks,37.389108,-121.98346
146,Raptr,Mountain View,USA,37.40384,-122.07808,Starbucks,37.403017,-122.079089
147,HipLogic,Fremont,USA,37.5541073,-121.9756765,Starbucks,37.553362,-121.973852
148,Inform Technologies,New York,USA,40.744639,-73.983963,Starbucks,40.744169,-73.983712
149,SendMe,San Francisco,USA,37.787126,-122.39783,Starbucks,37.784833,-122.39996
150,Blog Talk Radio,New York,USA,40.757929,-73.985506,Starbucks,40.7567274,-73.9858802
151,Tiny Pictures,San Francisco,USA,37.781002,-122.406912,Starbucks,37.7841086,-122.4076337
152,Issuu,Palo Alto,USA,37.4784804,-122.1514101,Starbucks,37.480185,-122.151151
153,Outbrain,New York City,USA,40.757929,-73.985506,Starbucks,40.7567274,-73.9858802
154,MoFuse,Providence,USA,41.826956,-71.408718,Starbucks,41.8252513,-71.4098695
155,Phreesia,New York,USA,40.739794,-73.985878,Starbucks,40.740194,-73.986767
156,99designs,San Francisco,USA,37.7955307,-122.4005983,Starbucks,37.794632,-122.402728
157,Generate,Santa Monica,USA,34.031328,-118.471463,Starbucks,34.032742,-118.47531
158,Generate,New York,USA,40.7570972,-73.969821,Starbucks,40.75743,-73.969128
159,Ifbyphone,Chicago,USA,42.040851,-87.750643,Starbucks,42.040516,-87.751859
160,Kareo,Irvine,USA,33.676444,-117.8587,Starbucks,33.6785656,-117.8624091
161,Tripology,New York,USA,40.746883,-73.983969,Starbucks,40.74850250000001,-73.9851667
162,Giant Realm,New York,USA,40.7566658,-73.9827553,Starbucks,40.75766,-73.98508
163,Global Roaming,Miami,USA,25.9690885,-80.1417742,Starbucks,25.9668838,-80.1422518
164,DailyStrength,Los Angeles,USA,34.043948,-118.468204,Starbucks,34.045001,-118.467267
165,Clarizen,San Mateo,USA,37.536044,-122.328401,Starbucks,37.534018,-122.326154
166,Skydeck,Palo Alto,USA,37.5645375,-122.3254705,Starbucks,37.562897,-122.323927
167,Next New Networks,New York,USA,40.743808,-73.983626,Starbucks,40.744169,-73.983712
168,Zuora,Foster City,USA,37.5596277,-122.2709868,Starbucks,37.56095,-122.273902
169,Elastra,San Francisco,USA,37.791137,-122.391843,Starbucks,37.791311,-122.392268
170,Star Analytics,San Mateo,USA,37.556152,-122.281484,Starbucks,37.5590258,-122.2830814
171,KidZui,San Diego,USA,37.09024,-95.712891,United States,37.09024,-95.712891
172,Mytopia,Palo Alto,USA,34.007967,-118.489681,Starbucks,34.010735,-118.4915543
173,Netbooks,San Francisco,USA,37.79471,-122.40195,Starbucks,37.792846,-122.404304
174,7digital,London,GBR,51.5254,-0.083726,Starbucks Coffee,51.5262525,-0.08800519999999999
175,Kannuu,Dallas,USA,32.9249424,-96.7679229,Starbucks,32.92510499999999,-96.769965
176,The Echo Nest,Somerville,USA,42.396495,-71.12045,Starbucks,42.3956589,-71.1222928
177,Business Insider,New York,USA,40.73906,-73.990911,Starbucks,40.740442,-73.99122799999999
178,Perfect Market,Pasadena,USA,34.146436,-118.153136,Starbucks,34.145914,-118.152542
179,Zemanta,London,GBR,51.5141566,-0.0934254,Starbucks Coffee,51.5146144,-0.09615549999999999
180,Zemanta,New York,USA,40.7387945,-73.9939213,Starbucks,40.737046,-73.996526
181,eYeka,Paris,FRA,48.856667,2.350987,Starbucks Coffee,48.85894820000001,2.3481632
182,Cellufun,New York,USA,40.73993,-73.9930489,Starbucks,40.740442,-73.99122799999999
183,Xoopit,San Francisco,USA,37.7617955,-122.4092704,Starbucks,37.7629128,-122.4104227
184,Austhink Software,"Melbourne, Victoria",AUS,-37.813603,144.96616,Starbucks,-37.8149543,144.9662713
185,Cotendo,Sunnyvale,USA,37.504764,-122.259568,Starbucks,37.506495,-122.260987
186,Cellfish,New York,USA,40.761855,-73.983754,Starbucks,40.7607368,-73.9837823
187,SiBEAM,Sunnyvale,USA,37.390704,-122.03039,Starbucks,37.3882714,-122.0303535
188,Boxbe,San Francisco,USA,37.800209,-122.442592,Starbucks Reserve,37.800647,-122.438558
189,Moviestorm,Cambridge,GBR,52.197471,0.130588,Starbucks,52.2013551,0.1253261
190,mySupermarket,New York,USA,53.478714,-2.244824,Starbucks,53.47794649999999,-2.2456007
191,mySupermarket,London,GBR,51.513671,-0.159205,Starbucks,51.5141728,-0.1612318
192,Mojiva,New York,USA,40.7185614,-73.998662,Starbucks,40.718252,-73.999961
193,GitHub,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
194,PluggedIn,Santa Monica,USA,34.007967,-118.489681,Starbucks,34.010735,-118.4915543
195,Mirror42,Amsterdam,NLD,52.36702,4.896468,STARBUCKS The Bank Rembrandtplein,52.3659541,4.8977405
196,Apture,San Francisco,USA,37.566042,-122.322954,Starbucks,37.562897,-122.323927
197,MediaScrape,Montreal,CAN,45.545447,-73.639076,Starbucks,45.5431848,-73.63995249999999
198,InMobi,San Francisco,USA,37.4465496,-122.1709208,Starbucks,37.443643,-122.171738
199,InMobi,Singapore,SGP,1.284082,103.851942,Starbucks,1.2842759,103.8520723
200,TeachStreet,Seattle,USA,47.6171788,-122.3370801,Starbucks,47.615222,-122.338094
201,Serious Business,San Francisco,USA,37.7893215,-122.4013624,Starbucks,37.7884614,-122.4034092
202,KnowledgeTree,Raleigh,USA,35.786975,-78.647003,Starbucks,35.788415,-78.64783299999999
203,Center'd,Menlo Park,USA,37.452992,-122.185098,Starbucks,37.452214,-122.183867
204,Pixsta,London,GBR,51.51819,-0.208979,Starbucks,51.5168329,-0.2058693
205,Velocify,El Segundo,USA,33.9192583,-118.3952969,Starbucks,33.9229404,-118.3958489
206,Tripwolf,Vienna,AUT,48.220357,16.355,Kaleya Kaffeehausbetrieb OG,48.2169572,16.359753
207,Zinch,San Francisco,USA,40.234451,-111.658656,"Center Street Cafe, at Utah Valley Convention Center",40.2341252,-111.662429
208,GodTube,Plano,USA,33.075067,-96.823962,Starbucks,33.074283,-96.82221000000001
209,Yoono,San Francisco,USA,37.787204,-122.397884,Starbucks,37.784833,-122.39996
210,OVGuide,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338
211,EatLime,San Francisco,USA,37.7749295,-122.4194155,Starbucks,37.7770595,-122.417347
212,Tyfone,Portland,USA,45.5105,-122.674995,Starbucks,45.514115,-122.677589
213,TuneUp,San Francisco,USA,37.7654195,-122.4119381,Starbucks,37.766884,-122.409623
214,Mozes,Palo Alto,USA,37.445667,-122.166911,Starbucks,37.443643,-122.171738
215,Stitcher,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
216,TerraPass,San Francisco,USA,37.787445,-122.397847,Starbucks,37.789545,-122.397592
217,Sometrics,El Segundo,USA,34.048857,-118.251343,Starbucks,34.048976,-118.251847
218,Transpera,San Francisco,USA,37.785792,-122.405081,Starbucks,37.7872876,-122.4074322
219,Fliqz,Emeryville,USA,37.848641,-122.289498,Starbucks,37.846608,-122.291652
220,Votigo,Boulder,USA,37.8919079,-122.1192743,Starbucks,37.891698,-122.120063
221,PurePlay,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
222,GreenNote,Mather,USA,37.492685,-122.227765,Starbucks,37.490422,-122.225101
223,M:Metrics,Seattle,USA,47.620716,-122.347533,Starbucks,47.62103949999999,-122.3507743
224,B-hive Networks,San Mateo,USA,37.536402,-122.325129,Starbucks,37.534018,-122.326154
225,TeleFlip,Santa Monica,USA,34.01695,-118.451933,Starbucks,34.019731,-118.454721
226,TuneCore,Brooklyn,USA,40.704382,-73.986572,Starbucks,40.702668,-73.990814
227,Crowd Science,Toronto,CAN,43.712309,-79.399538,Starbucks,43.711013,-79.3990309
228,WSO2,Palo Alto,USA,37.390918,-122.080843,Starbucks,37.387571,-122.083068
229,BumpTop,Toronto,CAN,43.648786,-79.3777473,Starbucks,43.64928219999999,-79.3782595
230,Limbo,Burlingame,USA,37.580304,-122.343679,Starbucks,37.579393,-122.346144
231,CohesiveFT,Chicago,USA,41.882401,-87.637816,Starbucks,41.881811,-87.635508
232,StartForce,San Francisco,USA,37.796164,-122.420903,Starbucks,37.796758,-122.422096
233,Pivot,Cambridge,USA,42.364367,-71.078978,Starbucks,42.367459,-71.076111
234,Tapulous,Palo Alto,USA,37.444332,-122.161018,Starbucks,37.446791,-122.160561
235,Codefast,San Jose,USA,37.316466,-121.873881,Starbucks,37.315392,-121.872396
236,HealthiNation,New York,USA,40.739341,-73.988357,Starbucks,40.740194,-73.986767
237,Boxee,New York,USA,40.745064,-73.992637,Starbucks,40.743592,-73.992076
238,Bambuser,Stockholm,SWE,59.332788,18.064488,Starbucks,59.3322352,18.0686288
239,Trusera,Seattle,USA,47.617122,-122.305994,Starbucks,47.618084,-122.3038941
240,Jibe Mobile,Mountain View,USA,37.4186097,-122.0937686,Starbucks,37.4218,-122.096419
241,Keibi Technologies,San Francisco,USA,37.787646,-122.402759,Starbucks,37.7884614,-122.4034092
242,BountyJobs,New York,USA,40.754211,-73.97917,Starbucks,40.755599,-73.98020799999999
243,VBS TV,Brooklyn,USA,40.720764,-73.957968,Starbucks Reserve,40.718005,-73.958219
244,Imagekind,Raleigh,USA,47.617732,-122.357317,Starbucks,47.614129,-122.352021
245,FlyCast,Lancaster,USA,40.039353,-76.307448,Starbucks,40.03996739999999,-76.305441
246,My Damn Channel,New York,USA,40.754762,-73.988543,Starbucks,40.754361,-73.987257
247,My Damn Channel,El Segundo,USA,33.9019543,-118.3872018,Starbucks,33.902255,-118.383561
248,Posterous,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
249,Genbook,San Francisco,USA,37.789902,-122.4007791,Starbucks,37.788673,-122.400874
250,TweetDeck,London,GBR,51.5001524,-0.1262362,Starbucks Coffee,51.49811,-0.1326075
251,Flowgram,San Francisco,USA,37.7710177,-122.4025976,Starbucks,37.770242,-122.403458
252,Bitly,New York,USA,40.74034,-74.00721,Starbucks Reserve New York Roastery,40.7405581,-74.0059674
253,Flat World Knowledge,Irvington,USA,41.091306,-73.923422,Starbucks,41.091136,-73.91846199999999
254,Involver,San Francisco,USA,37.788653,-122.401333,Starbucks,37.7884614,-122.4034092
255,Riot Games,Culver City,USA,34.0025911,-118.3942383,Starbucks,33.9990429,-118.3937288
256,Blue Lava Technologies,Honolulu,USA,21.309419,-157.86318,Starbucks,21.308858,-157.861283
257,Streetline,San Francisco,USA,37.782085,-122.409747,Starbucks,37.7841086,-122.4076337
258,neoSaej,Burlington,USA,42.485691,-71.19862,Starbucks,42.48478600000001,-71.1935233
259,Zendesk,San Francisco,USA,55.676294,12.568116,Starbucks,55.6767348,12.5689913
260,muzu tv,Dublin,IRL,53.341987,-6.262682,Starbucks Chatham Row,53.3407348,-6.261413000000001
261,muzu tv,London,GBR,51.513678,-0.13063,Starbucks Coffee,51.5127331,-0.1333425
262,muzu tv,New York,USA,40.757716,-73.972321,Starbucks,40.758321,-73.97407299999999
263,LiquidTalk,Chicago,USA,41.831001,-87.626918,Starbucks,41.830872,-87.62674799999999
264,BlogHer,Belmont,USA,37.491356,-122.228843,Starbucks,37.490422,-122.225101
265,Lexy,San Francisco,USA,37.786906,-122.397672,Starbucks,37.784833,-122.39996
266,CarbonFlow,San Francsico,USA,37.779097,-122.39365,Starbucks,37.777035,-122.393641
267,CarbonFlow,Sydney,AUS,-33.867139,151.207114,Starbucks,-33.8652185,151.2054493
268,CarbonFlow,London,GBR,51.500152,-0.126236,Starbucks Coffee,51.49811,-0.1326075
269,Huddler,San Francisco,USA,37.7893215,-122.4013624,Starbucks,37.7884614,-122.4034092
270,Prezi,Budapest,HUN,47.490346,19.059078,Starbucks Egyetem tér,47.490961,19.059113
271,Zorap,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
272,Hunch,New York,USA,40.741179,-73.993182,Starbucks,40.741873,-73.993326
273,Local Marketers,Seattle,USA,47.5989681,-122.3329036,Starbucks,47.59907,-122.3326739
274,ngmoco,San Francisco,USA,37.7705096,-122.4015807,Starbucks,37.770242,-122.403458
275,LeisureLogix,Tampa,USA,28.032975,-82.64611,Starbucks,28.0328913,-82.64787319999999
276,Likewise Software,Bellevue,USA,47.582658,-122.135282,Starbucks,47.581863,-122.1348989
277,ZManda,Sunnyvale,USA,37.3725243,-122.035963,Starbucks,37.37422,-122.032769
278,ELDR Media,Corte Madera,USA,37.9260091,-122.5162892,Starbucks,37.927706,-122.517131
279,Synchronica,Raleigh,USA,35.868807,-78.615986,Starbucks,35.866573,-78.620261
280,Occipital,Boulder,USA,40.018145,-105.278109,Starbucks,40.018733,-105.276647
281,Atigeo,Bellevue,USA,47.6174533,-122.2016685,Starbucks,47.6170443,-122.2021678
282,Lyft,San Francisco,USA,37.7899027,-122.4007846,Starbucks,37.788673,-122.400874
283,Jumptap,Boston,USA,42.368633,-71.075305,Starbucks,42.367459,-71.076111
284,Jumptap,New York City,USA,40.751478,-73.980305,Starbucks,40.7520837,-73.9811661
285,GoodGuide,San Francisco,USA,37.7983181,-122.4000032,Starbucks,37.797718,-122.401083
286,Picateers,San Mateo,USA,37.5574,-122.301914,Starbucks,37.554356,-122.30661
287,Lolapps,San Francisco,USA,37.7870923,-122.3999719,Starbucks,37.788673,-122.400874
288,Hangout Industries,Boston,USA,42.352835,-71.0609612,Starbucks,42.3532457,-71.057698
289,Pixelpipe,San Francisco,USA,37.764395,-122.401024,Starbucks,37.7658845,-122.4034908
290,Likewise Software,Bellevue,USA,47.582658,-122.135282,Starbucks,47.581863,-122.1348989
291,ZManda,Sunnyvale,USA,37.3725243,-122.035963,Starbucks,37.37422,-122.032769
292,ELDR Media,Corte Madera,USA,37.9260091,-122.5162892,Starbucks,37.927706,-122.517131
293,Synchronica,Raleigh,USA,35.868807,-78.615986,Starbucks,35.866573,-78.620261
294,Occipital,Boulder,USA,40.018145,-105.278109,Starbucks,40.018733,-105.276647
295,Atigeo,Bellevue,USA,47.6174533,-122.2016685,Starbucks,47.6170443,-122.2021678
296,Lyft,San Francisco,USA,37.7899027,-122.4007846,Starbucks,37.788673,-122.400874
297,Jumptap,Boston,USA,42.368633,-71.075305,Starbucks,42.367459,-71.076111
298,Jumptap,New York City,USA,40.751478,-73.980305,Starbucks,40.7520837,-73.9811661
299,GoodGuide,San Francisco,USA,37.7983181,-122.4000032,Starbucks,37.797718,-122.401083
300,Picateers,San Mateo,USA,37.5574,-122.301914,Starbucks,37.554356,-122.30661
