,name,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon
138,EchoSign,Palo Alto,USA,37.445326,-122.160671,Starbucks,37.446791,-122.160561
139,Buzzwire,Denver,USA,39.755092,-104.988123,,,
140,Eurekster,,USA,37.790992,-122.40188,Starbucks,37.790184,-122.402101
141,Zattoo,Ann Arbor,USA,42.292649,-83.734673,,,
142,Baynote,San Jose,USA,37.332271,-122.006539,,,
143,Songbird,San Francisco,USA,37.787126,-122.39783,Starbucks,37.784833,-122.39996
144,Disqus,San Francisco,USA,37.786906,-122.397672,Starbucks,37.784833,-122.39996
145,Pelago,Seattle,USA,47.607065,-122.335373,Starbucks,47.607304,-122.334259
146,Faves,Seattle,USA,47.603327,-122.334983,Starbucks,47.60378799999999,-122.335678
147,Plazes,Berlin,DEU,52.523402,13.398694,Starbucks,52.52329,13.40217
148,Yedda,Tel Aviv,ISR,32.0554,34.7595,,,
149,Vringo,New York,USA,40.7550005,-73.9717364,Starbucks,40.75416999999999,-73.971732
150,Minekey,Sunnyvale,USA,37.384239,-122.012475,,,
151,RepairPal,Emeryville,USA,37.838225,-122.296411,Starbucks,37.8366108,-122.2951415
152,StreetFire,Los Angeles,USA,33.982431,-118.426707,,,
153,Zmags,Copenhagen,DNK,55.6839208,12.571492,Starbucks,55.6837993,12.5707606
154,Zmags,London,GBR,51.5111369,-0.1247662,Starbucks Coffee,51.5123341,-0.1216241
155,TrackVia,Denver,USA,39.738499,-105.158645,,,
156,Loopt,Mountain View,USA,37.384717,-122.081625,Starbucks,37.387571,-122.083068
157,Vobile,Santa Clara,USA,37.399208,-121.97895,,,
158,RealSelf,Seattle,USA,47.620716,-122.347533,Starbucks,47.62103949999999,-122.3507743
159,GeoSentric,Amsterdam,NLD,37.09024,-95.712891,United States,37.09024,-95.712891
160,GameLayers,San Francisco,USA,37.803847,-122.402468,Starbucks,37.802887,-122.402977
161,OurStage,Chelmsford,USA,42.591704,-71.319348,,,
162,Zoji,Seattle,USA,47.620716,-122.347533,Starbucks,47.62103949999999,-122.3507743
163,Mogreet,Venice,USA,33.999004,-118.472297,,,
164,WEbook,New York,USA,38.984172,-77.095965,Starbucks,38.9843169,-77.0945739
165,xkoto,Waltham,USA,42.405685,-71.255857,,,
166,Youku,Shanghai,CHN,31.2006566,121.4384701,Starbucks,31.19772,121.4369511
167,Songza,Long Island City,USA,40.7473113,-73.9549182,,,
168,betNOW,London,GBR,51.511599,-0.126389,Starbucks Coffee,51.5123341,-0.1216241
169,Motionbox,New York,USA,40.606061,-73.822331,,,
170,Jott,Seattle,USA,47.6139472,-122.327807,Starbucks Reserve Roastery,47.614039,-122.328079
171,divorce360,North Palm Beach,USA,26.820375,-80.058401,,,
172,Deezer,Paris,FRA,48.8780596,2.3283853,Starbucks,48.87645999999999,2.326762
173,Utterz,Maynard,USA,42.431555,-71.483077,,,
174,CrossLoop,Monterey,USA,36.611645,-121.898539,,,
175,TradeKing,Fort Lauderdale,USA,26.119102,-80.1343038,Starbucks,26.122237,-80.137046
176,HubSpot,Cambridge,USA,42.375392,-71.118487,Starbucks Reserve,42.373333,-71.119214
177,BeliefNet,New York,USA,40.740231,-73.985433,Starbucks,40.74054,-73.98422099999999
178,Goodreads,Santa Monica,USA,34.01052,-118.495981,,,
179,Kosmix,Mountain View,USA,37.3867729,-122.0752224,,,
180,HubPages,San Francisco,USA,37.7876952,-122.3991505,Starbucks,37.788673,-122.400874
181,Ribbit,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068
182,WeShow,New York,USA,40.752516,-73.973072,Starbucks,40.751558,-73.97361699999999
183,Streamezzo,Paris,FRA,48.872159,2.291225,,,
184,Flixwagon,Tel-Aviv,ISR,32.0554,34.7595,,,
185,Shoeboxed,Durham,USA,35.996157,-78.902115,,,
186,Shoeboxed,Durham,USA,35.9939,-78.8986,,,
187,RipCode,Richardson,USA,32.959908,-96.70737,,,
188,RipCode,Austin,USA,30.402252,-97.748795,Starbucks,30.401952,-97.746882
189,Chumby,San Diego,USA,32.939673,-117.240799,,,
190,PlayFirst,San Francisco,USA,37.790346,-122.40185,Starbucks,37.7896675,-122.4019931
191,Qik,Redwood City,USA,37.486368,-122.230116,Starbucks Reserve,37.486332,-122.229944
192,Delve Networks,Seattle,USA,47.600818,-122.334117,Starbucks,47.601606,-122.333974
193,Bunchball,Redwood City,USA,37.3208403,-121.9479223,Starbucks,37.320964,-121.949113
194,TravelMuse,New York,USA,37.402802,-122.117418,,,
195,Scrapblog,San Francisco,USA,25.752358,-80.25468,,,
196,SugarCRM,Cupertino,USA,37.323739,-122.014147,Starbucks,37.323404,-122.011309
197,4Home,Sunnyvale,USA,37.385225,-121.991912,,,
198,Jobfox,McLean,USA,38.92719,-77.216969,,,
199,Outspark,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
200,yoonew,New York,USA,40.75362,-73.986557,Starbucks,40.754361,-73.987257
201,Mumboe,Austin,USA,30.390071,-97.711652,,,
202,blinkbox music,Oxford,GBR,51.7319786,-1.2063327,,,
203,Roost,San Francisco,USA,37.7891288,-122.4020276,Starbucks,37.7884614,-122.4034092
204,Zynga,San Francisco,USA,37.765158,-122.404234,Starbucks,37.7658845,-122.4034908
205,clipsync,San Francisco,USA,37.2906027,-121.9317853,Starbucks,37.292828,-121.930574
206,Lookery,San Francisco,USA,37.788266,-122.403865,Starbucks,37.7884614,-122.4034092
207,Lookery,Cambridge,USA,42.398424,-71.130297,,,
208,Sharetivity,Palo Alto,USA,37.550954,-122.315396,Starbucks,37.552243,-122.31386
209,First30Days,Louisville,USA,38.257035,-85.717393,,,
210,VisualCV,Reston,USA,38.9530391,-77.3479238,Starbucks,38.95201,-77.347456
211,TalentSpring,Seattle,USA,47.680496,-122.120938,,,
212,RocketOn,South San Francisco,USA,37.65466,-122.40788,Starbucks,37.655213,-122.410901
213,Mixbook,Palo Alto,USA,37.383844,-121.918319,,,
214,stickK,New York,USA,40.744837,-73.983843,Starbucks,40.744169,-73.983712
215,Bragster,London,GBR,51.5220072,-0.0766034,,,
216,Snap Technologies,Pasadena,USA,34.146436,-118.153136,Starbucks,34.145914,-118.152542
217,Qype,Hamburg,DEU,53.54598,9.987181,Starbucks,53.5486926,9.987982599999999
218,Smalltown,San Mateo,USA,37.566123,-122.323045,,,
219,Sparkplay Media,Mill Valley,USA,37.905544,-122.547445,,,
220,Cellfire,San Jose,USA,37.395923,-121.92902,,,
221,MOG,Berkeley,USA,37.872222,-122.268403,Starbucks,37.870434,-122.266083
222,Social Gaming Network,Los Angeles,USA,37.446823,-122.161523,Starbucks,37.446791,-122.160561
223,Social Gaming Network,Beverly Hills,USA,34.0698494,-118.4054182,Starbucks,34.0705899,-118.4023581
224,Foneshow,Portland,USA,43.657058,-70.253959,Starbucks,43.657582,-70.254661
225,doubleTwist,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
226,JackPot Rewards,Newton,USA,42.337037,-71.251748,,,
227,RiffTrax,San Diego,USA,32.936973,-117.240431,,,
228,P2P-Next,,NLD,52.132633,5.291266,,,
229,Grooveshark,Gainesville,USA,29.6502461,-82.3230981,Starbucks,29.649743,-82.32368699999999
230,FameCast,Austin,USA,30.268735,-97.745209,Starbucks,30.268259,-97.74295599999999
231,Redux,Berkeley,USA,37.87168,-122.269494,Starbucks,37.870434,-122.266083
232,Evernote,Redwood City,USA,37.386774,-121.987661,,,
233,Raptr,Mountain View,USA,37.40384,-122.07808,Starbucks,37.403017,-122.079089
234,HipLogic,Fremont,USA,37.5541073,-121.9756765,Starbucks,37.553362,-121.973852
235,Inform Technologies,New York,USA,40.744639,-73.983963,Starbucks,40.744169,-73.983712
236,SendMe,San Francisco,USA,37.787126,-122.39783,Starbucks,37.784833,-122.39996
237,Blog Talk Radio,New York,USA,40.757929,-73.985506,Starbucks,40.75766,-73.98508
238,Tiny Pictures,San Francisco,USA,37.781002,-122.406912,Starbucks,37.7841086,-122.4076337
239,Issuu,Palo Alto,USA,37.4784804,-122.1514101,Starbucks,37.480185,-122.151151
240,Howcast,New York City,USA,40.646166,-73.889492,,,
241,BillShrink,Redwood City,USA,37.503147,-122.211435,,,
242,SugarSync,San Mateo,USA,37.54763,-122.307887,,,
243,Outbrain,New York City,USA,40.757929,-73.985506,Starbucks,40.75766,-73.98508
244,MoFuse,Providence,USA,41.826956,-71.408718,Starbucks,41.8252513,-71.4098695
245,OLX,New York,USA,40.8587524,-73.7258199,,,
246,Phreesia,New York,USA,40.739794,-73.985878,Starbucks,40.740194,-73.986767
247,Innofidei,Beijing,CHN,39.905556,116.395833,,,
248,99designs,San Francisco,USA,37.7955307,-122.4005983,Starbucks,37.79510399999999,-122.400508
249,99designs,Collingwood,AUS,-37.8026587,144.9868546,,,
250,99designs,Berlin,DEU,52.4986199,13.4469031,,,
251,Generate,Santa Monica,USA,34.031328,-118.471463,,,
252,Generate,New York,USA,40.7570972,-73.969821,Starbucks,40.75743,-73.969128
253,Ifbyphone,Chicago,USA,42.040851,-87.750643,Starbucks,42.040516,-87.751859
254,Kareo,Irvine,USA,33.676444,-117.8587,Starbucks,33.6785656,-117.8624091
255,Footnote,Lindon,USA,40.3310529,-111.7276347,,,
256,Akoha,Montreal,CAN,45.516545,-73.578477,,,
257,Tripology,New York,USA,40.746883,-73.983969,Starbucks,40.74850250000001,-73.9851667
258,Giant Realm,New York,USA,40.7566658,-73.9827553,Starbucks,40.75559,-73.984106
259,Global Roaming,Miami,USA,25.9690885,-80.1417742,Starbucks,25.9668838,-80.1422518
260,Janrain,Portland,USA,45.484413,-122.675838,,,
261,TalkShoe,Wexford,USA,40.616311,-80.059548,,,
262,DailyStrength,Los Angeles,USA,34.043948,-118.468204,Starbucks,34.045001,-118.467267
263,Clarizen,San Mateo,USA,37.536044,-122.328401,Starbucks,37.534018,-122.326154
264,Skydeck,Palo Alto,USA,37.5645375,-122.3254705,Starbucks,37.562897,-122.323927
265,Next New Networks,New York,USA,40.743808,-73.983626,Starbucks,40.744169,-73.983712
266,Zuora,Foster City,USA,37.5596277,-122.2709868,Starbucks,37.56095,-122.273902
267,Elastra,San Francisco,USA,37.791137,-122.391843,Starbucks,37.791311,-122.392268
268,Krillion,Mountain View,USA,37.391727,-122.077597,,,
269,Star Analytics,San Mateo,USA,37.556152,-122.281484,Starbucks,37.5590258,-122.2830814
270,Replay Solutions,Redwood City,USA,37.512318,-122.200914,,,
271,Playfish,London,GBR,51.4991094,-0.1984802,,,
272,Playfish,TromsÃ¸,NOR,69.636216,18.931062,,,
273,Tapioca Mobile,San Diego,USA,32.88945,-117.166929,,,
274,Slicethepie,,GBR,55.378051,-3.435973,,,
275,ShowClix,Pittsburgh,USA,40.517948,-79.842487,,,
276,ScanCafe,Burlingame,USA,37.592584,-122.369676,,,
277,Moblica,Tel Aviv,ISR,32.0554,34.7595,,,
278,KidZui,San Diego,USA,37.09024,-95.712891,United States,37.09024,-95.712891
279,Dimdim,Lowell,USA,42.6161515,-71.3258687,,,
280,Mytopia,Palo Alto,USA,34.007967,-118.489681,Starbucks,34.010735,-118.4915543
281,Netbooks,San Francisco,USA,37.79471,-122.40195,Starbucks,37.794632,-122.402728
282,Pikum,London,GBR,51.539778,-0.152998,,,
283,7digital,London,GBR,51.5254,-0.083726,Starbucks Coffee,51.5262525,-0.08800519999999999
284,Kannuu,Dallas,USA,32.9249424,-96.7679229,Starbucks,32.92510499999999,-96.769965
285,Clearwell Systems,Mountain View,USA,37.398022,-122.049143,,,
286,The Echo Nest,Somerville,USA,42.396495,-71.12045,Starbucks,42.3956589,-71.1222928
287,Business Insider,New York,USA,40.73906,-73.990911,Starbucks,40.740442,-73.99122799999999
288,Perfect Market,Pasadena,USA,34.146436,-118.153136,Starbucks,34.145914,-118.152542
289,Zemanta,London,GBR,51.5141566,-0.0934254,Starbucks Coffee,51.5146144,-0.09615549999999999
290,Zemanta,New York,USA,40.7387945,-73.9939213,Starbucks,40.737046,-73.996526
291,Zemanta,Ljubljana,SVN,46.0607926,14.4972218,,,
292,Glassdoor,Sausalito,USA,37.868002,-122.500111,,,
293,Marketo,San Mateo,USA,37.5583,-122.301385,,,
294,eYeka,Paris,FRA,48.856667,2.350987,Starbucks,48.8568201,2.3548934
295,Cellufun,New York,USA,40.73993,-73.9930489,Starbucks,40.740442,-73.99122799999999
296,Xoopit,San Francisco,USA,37.7617955,-122.4092704,Starbucks,37.7629128,-122.4104227
297,eRepublik,Madrid,ESP,40.43094,-3.6952896,,,
298,Q-Layer,Lochristi,BEL,51.070829,3.771122,,,
299,Metaversum,Berlin,DEU,52.512249,13.419841,,,
300,Placecast,San Francisco,USA,37.773688,-122.423468,,,
301,Jodange,Yonkers,USA,40.934803,-73.901839,,,
302,Austhink Software,"Melbourne, Victoria",AUS,-37.813603,144.96616,Starbucks,-37.8135097,144.9663717
303,Cotendo,Sunnyvale,USA,37.504764,-122.259568,Starbucks,37.506495,-122.260987
304,Cellfish,New York,USA,40.761855,-73.983754,Starbucks,40.762426,-73.98362999999999
305,SiBEAM,Sunnyvale,USA,37.390704,-122.03039,Starbucks,37.3882714,-122.0303535
306,Boxbe,San Francisco,USA,37.800209,-122.442592,,,
307,Univa UD,Lisle,USA,41.808458,-88.073008,,,
308,Moviestorm,Cambridge,GBR,52.197471,0.130588,,,
309,mySupermarket,New York,USA,53.478714,-2.244824,Starbucks,53.47794649999999,-2.2456007
310,mySupermarket,London,GBR,51.513671,-0.159205,Starbucks,51.5141728,-0.1612318
311,Mojiva,New York,USA,40.7185614,-73.998662,Starbucks,40.718252,-73.999961
312,GitHub,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
313,Iminent,Paris,FRA,48.8522431,2.387422,,,
314,PluggedIn,Santa Monica,USA,34.007967,-118.489681,Starbucks,34.010735,-118.4915543
315,Mirror42,Amsterdam,NLD,52.36702,4.896468,STARBUCKS The Bank Rembrandtplein,52.3659541,4.8977405
316,Apture,San Francisco,USA,37.566042,-122.322954,Starbucks,37.562897,-122.323927
317,MediaScrape,Montreal,CAN,45.545447,-73.639076,Starbucks,45.5431848,-73.63995249999999
318,InMobi,San Francisco,USA,37.4465496,-122.1709208,Starbucks,37.443643,-122.171738
319,InMobi,Singapore,SGP,1.284082,103.851942,Starbucks,1.2842759,103.8520723
320,TeachStreet,Seattle,USA,47.6171788,-122.3370801,Starbucks,47.615675,-122.336894
321,MUBI,Palo Alto,USA,37.44236,-122.161025,,,
322,Health Plan One,Shelton,USA,41.262403,-73.135894,,,
323,Modern Feed,Los Angeles,USA,34.085749,-118.343791,,,
324,PrepChamps,,USA,35.914702,-78.902617,,,
325,Aardvark,San Francisco,USA,37.748676,-122.415813,,,
326,Serious Business,San Francisco,USA,37.7893215,-122.4013624,Starbucks,37.788673,-122.400874
327,TuneWiki,Santa Monica,USA,37.412577,-121.916861,,,
328,KnowledgeTree,Raleigh,USA,35.786975,-78.647003,Starbucks,35.788415,-78.64783299999999
329,Spotify,Luxembourg,LUX,49.607295,6.121511,,,
330,Center'd,Menlo Park,USA,37.452992,-122.185098,Starbucks,37.452214,-122.183867
331,Kabam,San Francisco,USA,37.3944561,-122.0785314,,,
332,Pixsta,London,GBR,51.51819,-0.208979,Starbucks,51.5168329,-0.2058693
333,New Relic,San Francisco,USA,37.269175,-119.306607,,,
334,Velocify,El Segundo,USA,33.9192583,-118.3952969,,,
335,Tripwolf,Vienna,AUT,48.220357,16.355,,,
336,Zinch,San Francisco,USA,40.234451,-111.658656,,,
337,GodTube,Plano,USA,33.075067,-96.823962,Starbucks,33.074283,-96.82221000000001
338,Yoono,San Francisco,USA,37.787204,-122.397884,Starbucks,37.789545,-122.397592
339,Jinni,Tel Aviv,ISR,32.0554,34.7595,,,
340,OVGuide,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338
341,EatLime,San Francisco,USA,37.7749295,-122.4194155,Starbucks,37.7770595,-122.417347
342,sevenload,Cologne,DEU,50.945289,6.921546,,,
343,Tyfone,Portland,USA,45.5105,-122.674995,Starbucks,45.513219,-122.675386
344,TuneUp,San Francisco,USA,37.7654195,-122.4119381,Starbucks,37.7629128,-122.4104227
345,Mozes,Palo Alto,USA,37.445667,-122.166911,,,
346,Stitcher,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
347,TerraPass,San Francisco,USA,37.787445,-122.397847,Starbucks,37.789545,-122.397592
348,Sometrics,El Segundo,USA,34.048857,-118.251343,Starbucks,34.048976,-118.251847
349,mywaves,Sunnyvale,SAU,37.3886,-122.016779,,,
350,Aprius,Washington,USA,47.6409655,-117.5357108,,,
351,Transpera,San Francisco,USA,37.785792,-122.405081,Starbucks,37.786139,-122.405723
352,Fliqz,Emeryville,USA,37.848641,-122.289498,Starbucks,37.846608,-122.291652
353,Moblyng,Redwood City,USA,37.453665,-122.229069,,,
354,Votigo,Boulder,USA,37.8919079,-122.1192743,Starbucks,37.891698,-122.120063
355,PurePlay,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
